name,type,star_rating,review_sum,address,contact,url
라온아트홀 / 연극 한뼘사이,공연장,4.19,정보 없음,서울 종로구 대학로10길 11,070-8952-2151,https://pcmap.place.naver.com/place/1464592641/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143790821
바탕골소극장,"공연,연극시설",4.39,정보 없음,서울 종로구 대학로10길 5 5층,02-764-8760,https://pcmap.place.naver.com/place/38009123/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143796033
대학로자유극장,"공연,연극시설",4.39,정보 없음,서울 종로구 대학로12길 31,0507-1370-0661,https://pcmap.place.naver.com/place/317404170/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143801706
정극장 행오버,"공연,연극시설",4.73,1522,서울 종로구 대학로12길 69 3F,0507-1352-6485,https://pcmap.place.naver.com/place/1888937466/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143806958
예그린씨어터,공연장,4.73,1522,서울 종로구 동숭길 130-5,02-6673-0100,https://pcmap.place.naver.com/place/33949063/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143812549
시온아트홀,공연장,정보 없음,325,서울 종로구 대학로8가길 52 3층,070-8719-9106,https://pcmap.place.naver.com/place/1491198750/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143817575
서울코미디클럽,공연장,정보 없음,171,서울 종로구 종로14길 4 2층,070-4633-6407,https://pcmap.place.naver.com/place/1455820061/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143824314
CKL스테이지,공연장,정보 없음,304,서울 중구 청계천로 40 지하 1층 CKL스테이지,02-6441-3951,https://pcmap.place.naver.com/place/913710464/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143831168
아티스탄홀,공연장,정보 없음,685,서울 종로구 대학로 132 형원빌딩,02-1661-6981,https://pcmap.place.naver.com/place/13284573/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143837979
동덕여자대학교 공연예술센터,공연장,정보 없음,449,서울 종로구 동숭길 126 동덕여대 공연예술 연구소,02-940-4578,https://pcmap.place.naver.com/place/11611690/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143844840
틴틴홀,공연장,4.36,정보 없음,서울 종로구 대학로10길 24 스타리움빌딩,02-764-8760,https://pcmap.place.naver.com/place/13280778/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143852404
충무아트센터 대극장,공연장,4.36,정보 없음,서울 중구 퇴계로 387 충무아트홀,02-2230-6600,https://pcmap.place.naver.com/place/13413087/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143857975
JTN 아트홀 2관,공연장,4.51,정보 없음,서울 종로구 이화장길 26,02-779-1595,https://pcmap.place.naver.com/place/13413043/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143863150
컬쳐씨어터,"공연,연극시설",4.86,1485,"서울 종로구 대학로8가길 80 매표소 1층, 공연장 5층",0507-1486-0213,https://pcmap.place.naver.com/place/1910206912/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143868394
플러스씨어터,공연장,4.86,1485,서울 종로구 대학로12길 73,02-556-4303,https://pcmap.place.naver.com/place/1138854501/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143874290
해피시어터/연극라면,공연장,4.87,정보 없음,서울 종로구 대학로10길 5 지하1층,0507-1329-7611,https://pcmap.place.naver.com/place/1352781000/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143879380
초록씨어터,"공연,연극시설",4.87,정보 없음,서울 종로구 대학로 128 21세기빌딩 5층,0507-1356-1932,https://pcmap.place.naver.com/place/1219330836/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143885158
JTN 아트홀 4관,공연장,4.85,749,서울 종로구 이화장길 26,02-779-1595,https://pcmap.place.naver.com/place/13413045/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143890442
국립극단 명동예술극장,공연장,4.17,정보 없음,서울 중구 명동길 35,1644-2003,https://pcmap.place.naver.com/place/13097297/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143895595
파랑씨어터,"공연,연극시설",4.17,정보 없음,서울 종로구 대학로8가길 36,070-4870-1931,https://pcmap.place.naver.com/place/35913944/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143901179
후암씨어터,공연장,4.29,577,서울 종로구 대학로11길 23 7층,정보 없음,https://pcmap.place.naver.com/place/1741020830/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143906345
세우아트센터,공연장,정보 없음,정보 없음,서울 종로구 대학로12길 49,070-7542-5089,https://pcmap.place.naver.com/place/11663698/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143913321
하마씨어터,공연장,4.89,669,서울 종로구 대학로10길 15-11 4층,02-766-0830,https://pcmap.place.naver.com/place/1450717347/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143920172
콘텐츠박스,공연장,4.89,669,서울 종로구 동숭길 55 대학빌딩 B1,02-747-2232,https://pcmap.place.naver.com/place/12059901/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143925852
스타스테이지,"공연,연극시설",4.32,정보 없음,서울 종로구 대학로12길 15 . 지하2층(동숭동),0507-1440-5356,https://pcmap.place.naver.com/place/1169564316/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143930957
JTN 아트홀 3관,공연장,정보 없음,445,서울 종로구 이화장길 26 JTN 아트홀,0507-1302-1596,https://pcmap.place.naver.com/place/13413044/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143935915
우미관극장,공연장,정보 없음,65,서울 종로구 종로14길 4 3층,정보 없음,https://pcmap.place.naver.com/place/1784191440/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143942659
스카이씨어터,공연장,정보 없음,528,서울 종로구 대학로8가길 52,070-4106-8889,https://pcmap.place.naver.com/place/21004693/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143951586
