name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,create_time
헬라스커피,A2,카페,4.43,0,서울,종로구,대학로,19 1층,jongno,0507-1351-7092,2023-08-15 13:17:30
서울커피 익선점,A2,"카페,디저트",4.51,407,서울,종로구,수표로28길,33-3 1층 서울커피,jongno,0507-1404-4890,2023-08-15 13:17:30
도토리가든,A2,"카페,디저트",4.5,0,서울,종로구,계동길,19-8 1층,jongno,0507-1476-1176,2023-08-15 13:17:30
노티드 안국,A2,카페,4.44,0,서울,종로구,북촌로,6-3 1층,jongno,070-7755-9377,2023-08-15 13:17:30
결,A2,"카페,디저트",4.44,0,서울,종로구,공평동,17,jongno,0507-1437-5840,2023-08-15 13:17:30
익선잡방,A2,브런치,4.43,0,서울,종로구,수표로28길,17-21 익선잡방,jongno,0507-1313-3418,2023-08-15 13:17:30
식물,A2,카페,4.46,0,서울,종로구,돈화문로11다길,46-1,jongno,02-742-7582,2023-08-15 13:17:30
빠우 시청점,A2,도넛,4.41,0,서울,중구,남대문로9길,40 센터플레이스 1층 102호,jongno,0507-1476-8914,2023-08-15 13:17:30
덕수궁 리에제와플,A2,와플,4.44,0,서울,중구,덕수궁길,5,jongno,0507-1339-5202,2023-08-15 13:17:30
소하염전,A2,"카페,디저트",4.44,0,서울,종로구,수표로28길,21-5 (익선동),jongno,0507-1353-8215,2023-08-15 13:17:30
블루보틀 광화문 카페,A2,블루보틀,4.5,0,서울,종로구,청계천로,11 1층,jongno,1533-6906,2023-08-15 13:17:30
학림,A2,카페,4.5,0,서울,종로구,대학로,119 2층 학림카페,jongno,02-742-2877,2023-08-15 13:17:30
빠우,A2,도넛,4.52,0,서울,중구,을지로,157 대림상가 3층 라열 361호,jongno,0507-1374-9285,2023-08-15 13:17:30
공차 종로센트로폴리스점,A2,차,4.55,1423,서울,종로구,우정국로,26,jongno,02-6370-5850,2023-08-15 13:17:30
카페 라미스콘 익선점,A2,"카페,디저트",4.41,0,서울,종로구,돈화문로11나길,25,jongno,0507-1342-9562,2023-08-15 13:17:30
프릳츠 원서점,A2,카페,4.25,0,서울,종로구,율곡로,83 아라리오 뮤지엄,jongno,02-747-8101,2023-08-15 13:17:30
사월의물고기,A2,베이커리,4.42,0,서울,종로구,인사동길,62-5 (충훈빌딩) 2층,jongno,02-733-8520,2023-08-15 13:17:30
온,A2,"카페,디저트",4.59,1534,서울,종로구,돈화문로11다길,17,jongno,02-741-5733,2023-08-15 13:17:30
라운드앤드,A2,베이커리,4.18,0,서울,중구,정동길,35 두비빌딩,jongno,02-753-7003,2023-08-15 13:17:30
카페 카다로그,A2,"카페,디저트",4.42,0,서울,중구,을지로,105 이화빌딩 4층 401호,jongno,0507-1357-1868,2023-08-15 13:17:30
낙원역,A2,카페,4.37,705,서울,종로구,수표로28길,33-5,jongno,02-763-1112,2023-08-15 13:17:30
미크플로 광장시장점,A2,"카페,디저트",4.41,933,서울,종로구,동호로,395 1층,jongno,0507-1393-5338,2023-08-15 13:17:30
광장시장 찹쌀꽈배기,A2,베이커리,4.41,0,서울,종로구,종로32길,2 105호,jongno,010-8917-4547,2023-08-15 13:17:30
텅,A2,카페,4.41,0,서울,종로구,율곡로,82 701호,jongno,02-766-1933,2023-08-15 13:17:30
다만프레르 SFC점,A2,홍차전문점,4.55,0,서울,중구,세종대로,136 파이넨스빌딩 지하1층,jongno,02-6730-1323,2023-08-15 13:17:30
카페첫만남,A2,"카페,디저트",4.55,0,서울,종로구,대학로9길,12,jongno,02-766-2337,2023-08-15 13:17:30
치즈인더스트리 [치즈공업사],A2,"카페,디저트",4.3,1168,서울,종로구,수표로28길,33-7,jongno,0507-1363-1722,2023-08-15 13:17:30
오키드고멧 안국,A2,"카페,디저트",정보 없음,67,서울,종로구,창덕궁길,35 2층 오키드고멧 안국,jongno,0507-1387-7335,2023-08-15 13:17:30
어니언 안국,A2,"카페,디저트",4.43,0,서울,종로구,계동길,5 카페 어니언,jongno,0507-1424-2123,2023-08-15 13:17:30
포비 을지로점,A2,베이커리,4.43,0,서울,중구,청계천로,100 시그니처 타워 1층,jongno,02-6020-0880,2023-08-15 13:17:30
플리퍼스 익선점,A2,"카페,디저트",4.49,0,서울,종로구,수표로28길,31 1층,jongno,02-766-2526,2023-08-15 13:17:30
자연도소금빵&자연도가,A2,베이커리,4.33,0,서울,종로구,수표로28길,21-17 1층,jongno,02-743-2245,2023-08-15 13:17:30
